Closure	49
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline19b
t	com.google.javascript.jscomp.FunctionInjectorTest::testInlineIntoLoop
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline13
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline14
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline15
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline16
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline17
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline18
t	com.google.javascript.jscomp.FunctionInjectorTest::testInline19
t	com.google.javascript.jscomp.FunctionInjectorTest::testBug1897706
t	com.google.javascript.jscomp.FunctionInjectorTest::testInlineFunctionWithInnerFunction5
t	com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateWithParameters3
t	com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateCallInLoopVars1
t	com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars1
t	com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars2
t	com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateFunctionDefinition
t	com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutate8
t	com.google.javascript.jscomp.InlineFunctionsTest::testLoopWithFunctionWithFunction
t	com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables16
t	com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables18
t	com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining11
t	com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInliningCosting3
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverMutateConstants
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineWithThis7
t	com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous1
t	com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous3
t	com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables1
t	com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables3
t	com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables6
t	com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables7
t	com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11b
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultNoParamCall3
t	com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining9
t	com.google.javascript.jscomp.InlineFunctionsTest::testMethodWithFunctionWithFunction
t	com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionYCombinator
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineVars7
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2a
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexInline7
t	com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionOmega
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15b
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15d
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions16a
t	com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexSample
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified1
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified2
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified3
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified4
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified5
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified6
t	com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified7
t	com.google.javascript.jscomp.InlineFunctionsTest::testIssue423
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2
t	com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition3
t	com.google.javascript.jscomp.InlineFunctionsTest::testDecomposeFunctionExpressionInCall
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverOverrideNewValues
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs1
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs2
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs3
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs4
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions10
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions13
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions22
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions23
t	com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions9
t	com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testMakeLocalNamesUniqueWithContext5
s	com.google.javascript.jscomp.MakeDeclaredNamesUnique
