JodaTime.src.java.org.joda.time.format.PeriodParser	[53feb3fa56af7260e607844524b7e5a9be49ecc1, a716ae1271d824fffd1250c4b712c5b5933d78e9, bf9c0997431172e5d0c4d52b218fd92a225ed5ac, 6d32c19e1869ef1f0e5e98082b921932ea136142, 6cad802018b6b82ea4df53aaf91a0bbc98b2f9a3, 5b58f75863065e708e03fba6b767a1f2b178b2b4, 0e2ca0e439c9d726fa24dbe589bb8db3354b11e1]
src.main.java.org.joda.time.chrono.ISOYearOfEraDateTimeField	[df4a82f4fb46cc2248280c462e18f08d55a3d112]
JodaTime.src.java.org.joda.time.chrono.BasicFixedMonthOfYearDateTimeField	[638abee397a254ce348b8500f089a781395f3349, ceafd889473600be23cff5f0f904a01a69eda299]
JodaTime.src.java.org.joda.time.Period	[53feb3fa56af7260e607844524b7e5a9be49ecc1, 990fcfc06f49cf9b83969c3b5f0c0eb434ef6cc9, 31de4ef49abf4eedd6a94e32023dcc301fc4aa14, a13f93ca6656aea3adab03a2dea0704f860679cb, 7c4c238b7b4dafbbb0269c05fc152c0de22c9c3e, d622c13df8065b16bc6038538f23a5ee05d7d5fe, e541f5fd2026976331403541ff93b043d4e130c8, f0d875fe4ebf2788157dc17b73b7a4b2fa421539, 60563aa4c5a04469431c5f6e0c4850e630e99cdb, ae732ef3beb1d6837f246c1b46544d93c70a4bd2, b00d835b7655fd14d55e0e4fcd0234177e18944e, da10d7e4ec270a11dd2bc2c4b8be2a123aba2f3c, 65a5478fb4d8616417524d13954fe92c501f9e69, cb16c512c40aa8cf81f72ebff45786a7d2e493ec, 001f56b4c4e8c10598fd5968c316731cd9910b2f, d8053cc9e6549a3403dd578a84c73f806a85cb44, bf9c0997431172e5d0c4d52b218fd92a225ed5ac, 0f44370d09c96a9978864aefb50e0086eb90d9df, 1e74633f1e8ffc517ee379e203d656ab26cc2f43, 6a5b8bd64e0cc18555c4cfe791f853278e3f24e7, 1c5dbbb0303fe2536a54c58e5bf56d76523a2e33, 750176f51260af36de4802e8150862431e9108bf, 55284cec591f9fc927c99ced4c1dc991485d6a37, eb86c15edfdcbe7d76a6845ad9423e63195c17fc, 35e25b7acfd8df8b38e7f6ea0a4bce880f6823ff, 73c467922eaf2579fa5c24e5aa2c8e5ffdc50aeb, 5f2aa4794e8094eb6b3018589c3a751f61bd2fa6, d013650557824fd19e39305f18ee9996418e1e76, c19bfe0c328518cb9d9734e8e15c174c150b86c0, 0e2ca0e439c9d726fa24dbe589bb8db3354b11e1]
src.test.java.org.joda.time.chrono.gj.TestJulianMonthOfYearField	[df4a82f4fb46cc2248280c462e18f08d55a3d112]
JodaTime.src.main.java.org.joda.time.DateTimeFieldType	[df4a82f4fb46cc2248280c462e18f08d55a3d112, bbbbbbfb607a0ee6391fdb6540d900b56493d523, 53feb3fa56af7260e607844524b7e5a9be49ecc1]
JodaTimeContrib.hibernate.src.main.java.org.joda.time.contrib.hibernate.PersistentYearMonthDay	[72b22654962284bac59c2777131b42a2d1f53228, 3ec46adf5021cecfc2a131aa6604496bce9875c4, 18116433494dceb6e9ac589f441a8950d701f1e9, bc0fbec22796ef75f28964efb2fbfc59ed9de516]
JodaTimeContrib.hibernate.src.java.org.joda.time.contrib.hibernate.PersistentInstant	[bc0fbec22796ef75f28964efb2fbfc59ed9de516, 9b9eeb2f9d31aa8ca3a23e538f124a9cba27e21d, 695bd1dfb15308abad09ee751b0db66e13290a7c, 9282fb099a9662b31168d402cfb80084c41fab5c, 70d6a2e603ff58af6c37b2ac7d31663893a0ced9, 860261c5f8be86ba8e3b7ba3d7884fd762708f99, 5d9df524c5e231f5c7fc96ebf9de528aabd9eb8b]
JodaTime.src.test.java.org.joda.time.TestWeeks	[df4a82f4fb46cc2248280c462e18f08d55a3d112, a62f8f4a7fa90efce1b067642b62ccca3cb36269]
JodaTime.src.test.org.joda.time.TestYearMonth_Constructors	[a62f8f4a7fa90efce1b067642b62ccca3cb36269, f5dd6bffe00eb9ec8dca2e156cf06c12584ee18a]
src.test.java.org.joda.time.tz.TestFixedDateTimeZone	[df4a82f4fb46cc2248280c462e18f08d55a3d112]
